Strategy,Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades
MA Crossover Strategy,17.83,3.43,2.54,-1.04,-3.72,36.83,24
Buy & Hold (USD),14.37,2.8,3.22,-0.95,-8.64,36.22,N/A
