Date,Rate,Source,Daily_Return,Log_Return,SMA_Short,SMA_Long,Rolling_Volatility_Annualized,Signal,Position_Change,Strategy_Position,Strategy_Daily_Return,Trade_Executed,Strategy_Equity,BuyHold_Equity
2021-02-19,10514.58,CBU.uz (official),-0.0006558012751057829,-0.0006560164068229096,10532.01,10502.1396,0.010286271039154537,1,False,0.0,0.0,False,10000.0,9993.441987248942
2021-02-20,10514.58,CBU.uz (official),0.0,0.0,10531.7895,10502.8928,0.010286271039154537,1,False,1.0,0.0,False,10000.0,9993.441987248942
2021-02-21,10514.58,CBU.uz (official),0.0,0.0,10531.569,10503.645999999999,0.010286271039154537,1,False,1.0,0.0,False,10000.0,9993.441987248942
2021-02-22,10532.27,CBU.uz (official),0.0016824257364536077,0.0016810120436742356,10531.1605,10504.753,0.00937643663123679,1,False,1.0,0.0016824257364536077,False,10016.824257364537,10010.255211244046
2021-02-23,10549.65,CBU.uz (official),0.0016501665832719947,0.0016488065543729836,10531.621,10506.2076,0.011131837314149157,1,False,1.0,0.0016501665832719947,False,10033.353686024546,10026.773799883666
2021-02-24,10542.46,CBU.uz (official),-0.0006815391979829721,-0.0006817715514001383,10531.722,10508.068000000001,0.011426468392658148,1,False,1.0,-0.0006815391979829721,False,10026.515562200293,10019.940160509737
2021-02-25,10554.34,CBU.uz (official),0.0011268717168479991,0.001126237273494333,10532.417,10510.166000000001,0.012094230359907778,1,False,1.0,0.0011268717168479991,False,10037.814159005873,10031.231347681125
2021-02-26,10538.53,CBU.uz (official),-0.0014979619758317408,-0.0014990850425532038,10532.321500000002,10511.9478,0.013310625422170994,1,False,1.0,-0.0014979619758317408,False,10022.777895075216,10016.204944551526
2021-02-27,10538.53,CBU.uz (official),0.0,0.0,10532.226,10513.729599999999,0.013310625422170994,1,False,1.0,0.0,False,10022.777895075216,10016.204944551526
2021-02-28,10538.53,CBU.uz (official),0.0,0.0,10532.130500000001,10515.5114,0.013310625422170994,1,False,1.0,0.0,False,10022.777895075216,10016.204944551526
